samplenr	I	II	V1	V2	V3	V4	V5	V6
454	-16607.5	-16487.5	0	0	0	0	0	0
455	-16590	-16477.5	0	0	0	0	0	0
456	-16572.5	-16467.5	0	0	0	0	0	0
457	-16555	-16457.5	0	0	0	0	0	0
458	-16520	-16425	0	0	0	0	0	0
459	-16492.5	-16400	0	0	0	0	0	0
460	-16467.5	-16375	0	0	0	0	0	0
461	-16430	-16345	0	0	0	0	0	0
462	-16400	-16320	0	0	0	0	0	0
463	-16375	-16300	0	0	0	0	0	0
464	-16357.5	-16282.5	0	0	0	0	0	0
465	-16335	-16247.5	0	0	0	0	0	0
466	-16300	-16197.5	0	0	0	0	0	0
467	-16260	-16155	0	0	0	0	0	0
468	-16215	-16107.5	0	0	0	0	0	0
469	-16172.5	-16057.5	0	0	0	0	0	0
470	-16135	-16017.5	0	0	0	0	0	0
471	-16090	-15970	0	0	0	0	0	0
472	-16045	-15920	0	0	0	0	0	0
473	-16002.5	-15872.5	0	0	0	0	0	0
474	-15932.5	-15802.5	0	0	0	0	0	0
475	-15875	-15750	0	0	0	0	0	0
476	-15807.5	-15695	0	0	0	0	0	0
477	-15745	-15640	0	0	0	0	0	0
478	-15697.5	-15602.5	0	0	0	0	0	0
479	-15627.5	-15545	0	0	0	0	0	0
480	-15572.5	-15495	0	0	0	0	0	0
481	-15522.5	-15442.5	0	0	0	0	0	0
482	-15452.5	-15367.5	0	0	0	0	0	0
483	-15392.5	-15305	0	0	0	0	0	0
484	-15322.5	-15222.5	0	0	0	0	0	0
485	-15242.5	-15137.5	0	0	0	0	0	0
486	-15170	-15052.5	0	0	0	0	0	0
487	-15077.5	-14932.5	0	0	0	0	0	0
488	-14972.5	-14795	0	0	0	0	0	0
489	-14855	-14635	0	0	0	0	0	0
490	-14740	-14470	0	0	0	0	0	0
491	-14640	-14312.5	0	0	0	0	0	0
492	-14535	-14157.5	0	0	0	0	0	0
493	-14442.5	-14032.5	0	0	0	0	0	0
494	-14360	-13930	0	0	0	0	0	0
495	-14292.5	-13845	0	0	0	0	0	0
496	-14245	-13780	0	0	0	0	0	0
497	-14200	-13740	0	0	0	0	0	0
498	-14167.5	-13740	0	0	0	0	0	0
499	-14140	-13765	0	0	0	0	0	0
500	-14100	-13797.5	0	0	0	0	0	0
501	-14045	-13835	0	0	0	0	0	0
502	-13987.5	-13862.5	0	0	0	0	0	0
503	-13935	-13867.5	0	0	0	0	0	0
504	-13875	-13852.5	0	0	0	0	0	0
505	-13800	-13822.5	0	0	0	0	0	0
506	-13715	-13770	0	0	0	0	0	0
507	-13622.5	-13697.5	0	0	0	0	0	0
508	-13532.5	-13615	0	0	0	0	0	0
509	-13432.5	-13507.5	0	0	0	0	0	0
510	-13330	-13397.5	0	0	0	0	0	0
511	-13252.5	-13285	0	0	0	0	0	0
512	-13170	-13172.5	0	0	0	0	0	0
513	-13080	-13070	0	0	0	0	0	0
514	-12995	-12962.5	0	0	0	0	0	0
515	-12910	-12862.5	0	0	0	0	0	0
516	-12825	-12765	0	0	0	0	0	0
517	-12752.5	-12672.5	0	0	0	0	0	0
518	-12662.5	-12572.5	0	0	0	0	0	0
519	-12595	-12487.5	0	0	0	0	0	0
520	-12522.5	-12402.5	0	0	0	0	0	0
521	-12420	-12302.5	0	0	0	0	0	0
522	-12337.5	-12210	0	0	0	0	0	0
523	-12242.5	-12112.5	0	0	0	0	0	0
524	-12145	-12020	0	0	0	0	0	0
525	-12052.5	-11927.5	0	0	0	0	0	0
526	-11947.5	-11825	0	0	0	0	0	0
527	-11852.5	-11732.5	0	0	0	0	0	0
528	-11747.5	-11637.5	0	0	0	0	0	0
529	-11655	-11545	0	0	0	0	0	0
530	-11567.5	-11455	0	0	0	0	0	0
531	-11472.5	-11365	0	0	0	0	0	0
532	-11400	-11287.5	0	0	0	0	0	0
533	-11310	-11192.5	0	0	0	0	0	0
534	-11222.5	-11095	0	0	0	0	0	0
535	-11135	-11005	0	0	0	0	0	0
536	-11042.5	-10907.5	0	0	0	0	0	0
537	-10965	-10827.5	0	0	0	0	0	0
538	-10880	-10745	0	0	0	0	0	0
539	-10785	-10652.5	0	0	0	0	0	0
540	-10702.5	-10577.5	0	0	0	0	0	0
541	-10615	-10495	0	0	0	0	0	0
542	-10525	-10415	0	0	0	0	0	0
543	-10437.5	-10340	0	0	0	0	0	0
544	-10357.5	-10267.5	0	0	0	0	0	0
545	-10285	-10205	0	0	0	0	0	0
546	-10207.5	-10130	0	0	0	0	0	0
547	-10130	-10050	0	0	0	0	0	0
548	-10055	-9970	0	0	0	0	0	0
549	-9975	-9882.5	0	0	0	0	0	0
550	-9895	-9797.5	0	0	0	0	0	0
551	-9807.5	-9707.5	0	0	0	0	0	0
552	-9722.5	-9612.5	0	0	0	0	0	0
553	-9642.5	-9525	0	0	0	0	0	0
554	-9547.5	-9425	0	0	0	0	0	0
555	-9447.5	-9320	0	0	0	0	0	0
556	-9350	-9230	0	0	0	0	0	0
557	-9255	-9140	0	0	0	0	0	0
558	-9157.5	-9050	0	0	0	0	0	0
559	-9077.5	-8972.5	0	0	0	0	0	0
560	-8995	-8885	0	0	0	0	0	0
561	-8897.5	-8787.5	0	0	0	0	0	0
562	-8817.5	-8700	0	0	0	0	0	0
563	-8717.5	-8602.5	0	0	0	0	0	0
564	-8622.5	-8507.5	0	0	0	0	0	0
565	-8540	-8417.5	0	0	0	0	0	0
566	-8447.5	-8320	0	0	0	0	0	0
567	-8362.5	-8230	0	0	0	0	0	0
568	-8267.5	-8130	0	0	0	0	0	0
569	-8170	-8025	0	0	0	0	0	0
570	-8072.5	-7927.5	0	0	0	0	0	0
571	-7977.5	-7837.5	0	0	0	0	0	0
572	-7880	-7742.5	0	0	0	0	0	0
573	-7780	-7647.5	0	0	0	0	0	0
574	-7690	-7565	0	0	0	0	0	0
575	-7600	-7475	0	0	0	0	0	0
576	-7502.5	-7380	0	0	0	0	0	0
577	-7425	-7302.5	0	0	0	0	0	0
578	-7345	-7220	0	0	0	0	0	0
579	-7247.5	-7127.5	0	0	0	0	0	0
580	-7157.5	-7040	0	0	0	0	0	0
581	-7057.5	-6940	0	0	0	0	0	0
582	-6965	-6847.5	0	0	0	0	0	0
583	-6880	-6762.5	0	0	0	0	0	0
584	-6787.5	-6665	0	0	0	0	0	0
585	-6700	-6575	0	0	0	0	0	0
586	-6610	-6487.5	0	0	0	0	0	0
587	-6505	-6382.5	0	0	0	0	0	0
588	-6417.5	-6295	0	0	0	0	0	0
589	-6330	-6212.5	0	0	0	0	0	0
590	-6250	-6127.5	0	0	0	0	0	0
